videos,first_frame,sessions.thisRepN,sessions.thisTrialN,sessions.thisN,sessions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start_exp.started,etRecord.started,etRecord.stopped,start_exp.stopped,focus.started,image.started,focus.stopped,trial.started,movie.started,trial.stopped,questions.started,key_resp.started,text.started,questions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,end_exp.started,etRecord_2.started,etRecord_2.stopped,end_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
video/Sphere_init2_speed1_perturbation/delta1/0001-0150.avi,video/First_frame/Sphere_init2_speed1_perturbation_delta1_0001-0150.jpg,1,0,1,0,0,6,6,15,268.33802700000024,,,,,,268.31108989999984,268.33802700000024,269.32185470000013,269.32186219999994,269.5885725000003,275.80499009999994,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init1_speed1_perturbation/original/0001-0150.avi,video/First_frame/Sphere_init1_speed1_perturbation_original_0001-0150.jpg,1,0,1,0,0,7,7,14,275.95512819999976,,,,,,275.92411049999964,275.95512819999976,276.9383783999997,276.9383856999998,277.20520609999994,283.42210120000027,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init1_speed1/delta1/0001-0150.avi,video/First_frame/Sphere_init1_speed1_delta1_0001-0150.jpg,1,0,1,0,0,8,8,0,283.57184689999985,,,,,,283.53770269999995,283.57184689999985,284.5385646999998,284.5385722999995,284.80506169999944,291.0382367999996,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init1_speed1/delta2/0001-0150.avi,video/First_frame/Sphere_init1_speed1_delta2_0001-0150.jpg,1,0,1,0,0,9,9,1,291.1718060999997,,,,,,291.1501524,291.1718060999997,292.15525839999964,292.15526550000004,292.42184659999975,298.6382927999998,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1/original/0001-0150.avi,video/First_frame/Sphere_init4_speed1_original_0001-0150.jpg,1,0,1,0,0,10,10,11,298.7884772000002,,,,,,298.7642914000003,298.7884772000002,299.77198739999994,299.7719968999995,300.0385191999999,306.2551546999998,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init1_speed1_perturbation/delta2/0001-0150.avi,video/First_frame/Sphere_init1_speed1_perturbation_delta2_0001-0150.jpg,1,0,1,0,0,11,11,13,306.4051494,,,,,,306.3783563000002,306.4051494,307.38805550000006,307.38806330000034,307.6551865999995,313.87212469999986,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init3_speed1/delta1/0001-0150.avi,video/First_frame/Sphere_init3_speed1_delta1_0001-0150.jpg,1,0,1,0,0,12,12,6,314.02181509999946,,,,,,313.9932966000001,314.02181509999946,315.0051564999999,315.0051639999997,315.2718262000003,321.4885983999998,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init3_speed1/original/0001-0150.avi,video/First_frame/Sphere_init3_speed1_original_0001-0150.jpg,1,0,1,0,0,13,13,8,321.6381169000001,,,,,,321.61083349999944,321.6381169000001,322.6218887,322.6218965000003,322.8884758999998,329.10511369999995,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init1_speed1/original/0001-0150.avi,video/First_frame/Sphere_init1_speed1_original_0001-0150.jpg,1,0,1,0,0,14,14,2,329.2552201000003,,,,,,329.2258274999999,329.2552201000003,330.2385526000003,330.2385602999998,330.5049323999997,336.72178759999997,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
video/Sphere_init4_speed1_perturbation/original/0001-0150.avi,video/First_frame/Sphere_init4_speed1_perturbation_original_0001-0150.jpg,1,0,1,0,0,15,15,23,336.87128410000014,,,,,,336.8388309999996,336.87128410000014,337.85520849999966,337.85521629999994,338.1218174999999,344.3387378000002,,,,,,,,,,,,200693,001,2024-01-30_15h16.17.547,PFE,2023.2.3,59.99026957827578,2024-01-30 15h16.23.220994 +0100,
